title,artist,year,medium,description,visual_description,artist_bio,location,period,provenance,image_url,source_url
The Return of the Lean Dogs,Ben Osaghae,2000,Oil on Canvas,"The Return of the Lean Dogs captures a group of young men, presumably vigilante or gang members, fraternizing over cigarettes and palm wine, probably after a long, stressful day.",,Ben Osaghae was famous for his stylish approach to contemporary happenings in the society with abstract expressionism.,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_R1t_CVw6YS8Zmhyvl_vDvki297syttcyEu4BC8m0IHKSkzdWCmL_JfcLZvuL-NHBXgWugW,https://artsandculture.google.com/asset/the-return-of-the-lean-dogs/LQFRdBW4vZ7Wlw
Pandora's Box,Nathalie Djaku Kassi,2018,White Glazed Clay,"Pandora's Box, in ancient Greek mythology, was a cursed gift (in a jar) presented to Pandora, the first human woman created on the instructions of Zeus. Modern meanings of ""any source of great and unexpected troubles"" and ""a present which seems valuable but which in reality is a curse"" have been ascribed to it. However, Nathalie chose to translate and explore this theme as everyone's ""Pot of Secrets"". You find the faces all over this pot as metaphoric representations of the prying eyes of inquisitive friends and the general public who are very curious about your personal secrets not minding how troublesome they are to you.",,,Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_SLiEqegu1KCNQxd2aWszfqcLzNEDyE4ts5dcWK54_NGTKG1Zdn7qANF5fnjdX549eU6Txhigw,https://artsandculture.google.com/asset/pandora-s-box/0AEocomRm3VHRA
Adam in the Garden of Eden,Uche Okeke,,Ink on paper,"Adam in the Garden of Eden, Okeke reimagines Adam as an African figure, surrounded by natural elements. The figure is drawn in his signature uli style, with lyrical lines emphasizing the trees, birds, and foliage that frame the scene. The loincloth-clad Adam stands with a potbelly, grounding the biblical story in an African context, while the composition celebrates the connection between humanity and nature.",,"Uche Okeke, a pioneer of modern Nigerian art, is known for his use of uli—a traditional Igbo art form based on fluid, linear patterns. His works frequently reinterpret African myths and stories, blending traditional and modern aesthetics. In",,Painting,Yemisi Shyllon Museum of Art,https://lh3.googleusercontent.com/ci/AL18g_TgTL9lstlbzwh4i5gub1ryEhZDsuZl6Jy3agsTNk1i5zRq1HepdIjFA9nfPr_A8R4uUbUwnQ,https://artsandculture.google.com/asset/adam-in-the-garden-of-eden/eAHB2atXE5_zEg
Prayer Warriors II,Ben Osaghae,2009,Acrylic on Canvas,"Prayer Warriors II, two figures stand in front of microphones, seemingly preaching or leading worship. The microphones are attached to orange-colored lecterns, one of which has an open book. The painting's simple color scheme—cadmium orange, cobalt blue, and light green—reflects the precision and economy of Osaghae’s work. This painting critiques the exploitation of religion for personal gain.",,"Ben Osaghae was a renowned Nigerian artist best known for his satirical commentary on social and religious issues through his paintings. He used his work to highlight the contradictions and challenges within Nigerian society, often touching on religion, politics, and everyday life. Osaghae’s “Religious Series” critically examines the commercialization of religion by some preachers. In",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/prayer-warriors-ii/hwGVWdU0UoKCxA
Prayer Request,Amon Kotei,1997,Oil on Canvas,The painting depicts a female figure down on her knees with her palms clasped together in prayer. The face of the lady is hardly visible as mostly dark colours have been used in depicting it. The painting also appears to have a number of colours going across the figure vertically and this creates a multi colored effect. The colours in the background can be seen on the figure as well.,,,Ghana,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_RZ4ODzNx6Tf4xlXeIpGFlW-1WU1IyrydyDCmalheYyyxNaRE7ynvXuuzbxhJYuur4ninDh2g=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/prayer-request/7wGvBPD-N56Ssg
The Dancer,Ben Enwonwu,1959,Bronze,,,"Ben Enwonwu embarked on the Africa Dances series during his studies in London in the 1940s. In the book, Gorer reflected on colonial rule and its impact on traditional life in Africa. Enwonwu used the series as visual illustrations of his views on the state of the modern Nigerian culture at the time, with attention to the symbolic imageries he saw in different scenes of traditional ceremonies, cultural dances and ritual performances of different ethnic groups in the country. This became a dominant theme throughout his career and was revisited in a lot of his paintings and sculptures.","Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_Rqq3CDPdBfPb1K3UMf-ewwv055QhHm4qM8HsllAaZc4cKvTSwHoYy-Nc0syTrJvyc4QwLZBQ,https://artsandculture.google.com/asset/the-dancer/RwHLqHsOTqmd-w
The Adanma Masquerade,Okpu Eze,1989,Wood,,,"Okpu Eze was a contemporary Nigerian painter and sculptor born in 1934. He was largely self-taught as an artist before receiving formal education and training at the Technical Institute & Trade Centre, Enugu, 1950-1955 and Westham Technical College, London, where he studied Technology & Techniques of Materials, 1963-1964. He was the first recipient of the Mbanefo Trophy for Art, Eastern Nigeria, in 1956. He also won the Sculpture Prize of the Economic Commission of West Africa States, Togo, 1990. Among his notable solo exhibitions as an artist was the ""Legacy of Images: The Sculptures of Okpu Eze,"" Italian Cultural Institute, Lagos, April, 1989; New Africa Centre, London, May 1990. He also participated in group exhibitions in Africa and Europe including the First World Festival of Negro Arts, Dakar, Senegal, 1966 and the 269th exhibition of The Royal Society of British Artists at the Mall galleries, London in 1986, which led to his election as Associate Member of the Royal Society of British Artists. In addition to his artistic practice, Okpu Eze was also highly respected for his knowledge and insights as a scholar. He was a guest art critic to the <i>Nigeria Magazine in the 1960’s. Before his death in 1995, he was the serving president of the Society of Nigerian Artists (SNA). Done in 1989, Adanma Masquerade is a classic masterpiece denoting the famous contemporary female masquerade of the Igbo people. Adanma or Adamma simply means the beautiful first daughter (of the family). Though worn and performed by a male masker, the mask is designed and decorated to give it a feminine outlook and appeal. The mask is known to be harmless and non-spiritual and is not worshipped by the people as common with other powerful masks. It is specially made for entertainment and can be worn by any man who can comfortably display and perform feminine dance attributes/steps qualities while dancing. Okpu Eze captures the notable female attributes of beauty, elegance, shyness and grace associated with the masquerade which is lauded for its unique ability to “enchant” her spectators with gracious body movements during performance.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RA3k13I8FQ77qBq5bc3JGllbMQ66TKuMQShGIe7mjxwlHvrHLXj4UMgeAlMdjZHtdF_UWgxvgv=x0-y0-z0-nt0W9OhOaGV955Wq_A4_04cJRZon_0,https://artsandculture.google.com/asset/the-adanma-masquerade/ygEbXW_Dl2WRIg
